"Year","Quarter","Group","Unit","Inflation Deflator","Adult Population","Working Age Population","Household Population","Real Total Factor Income","Real Factor Income Share","Real Factor Income Per Unit Growth","Real Factor Income Per Unit"
"1976","1","Bottom 50%","Households","0.2358636666666667","71345799.31861055","59888040.81920352","47403588.50823564","800320459931.4537","0.11982198296499062","0","16883.11971977418"
"1976","2","Bottom 50%","Households","0.23823825666666668","71747278.12150253","60225044.693208635","47670339.3101565","803382485565.9176","0.11953640783927652","-0.001791149379163528","16852.879530369763"
"1976","3","Bottom 50%","Households","0.24131530999999998","72100444.20712395","60521494.56337228","47904990.14563069","806118998550.995","0.11908455099672571","-0.0032971469521444873","16827.453593047434"
"1976","4","Bottom 50%","Households","0.24564456999999998","72442013.05688408","60808209.63980353","48131935.53842551","806720286380.9655","0.11887797971163377","-0.0072567297870830315","16760.603482004804"
"1977","1","Bottom 50%","Households","0.24959966333333336","72825046.2686973","61125932.190593004","48479302.00227361","811251791931.4707","0.11819464045059017","-0.008833510014776209","16733.982512648887"
"1977","2","Bottom 50%","Households","0.25311956999999996","73246624.81886293","61474101.31827128","48898950.11703926","826415201511.7256","0.11746089501884999","0.0010276242754527231","16900.469223443593"
"1977","3","Bottom 50%","Households","0.25619661666666665","73600038.48300342","61765054.425721265","49273258.651737235","839132520227.1053","0.11710148930723818","0.008710559616619519","17030.181140607794"
"1977","4","Bottom 50%","Households","0.26173224","73941411.15483736","62045900.933033735","49639550.12979264","842560482226.2062","0.11713186559317869","0.00535756206948875","16973.57208159948"
"1978","1","Bottom 50%","Households","0.2655422866666666","74336490.10615562","62357987.99222562","50003972.03742591","853846269928.2574","0.11797412562958672","0.011398911220807691","17075.568902590152"
"1978","2","Bottom 50%","Households","0.2706198","74765759.96020623","62691814.62468017","50372513.25327585","877370162846.7819","0.11767538386859157","0.03165987872860683","17417.63724266278"
"1978","3","Bottom 50%","Households","0.2752086233333333","75136848.13355477","62976827.178758085","50701940.62141893","885165119586.5509","0.11789778096702343","0.03406302555260439","17458.209858196526"
"1978","4","Bottom 50%","Households","0.2808435333333333","75484672.26224262","63242338.90142518","51015674.91718205","893081725505.2286","0.11769585816684792","0.036895204968319606","17506.025882339924"
"1979","1","Bottom 50%","Households","0.28595920333333336","75872467.36647995","63529190.842576765","51341759.90624008","899014666896.1107","0.11768282329906761","0.03715418833385755","17510.398329505733"
"1979","2","Bottom 50%","Households","0.29296846","76283835.41874081","63829683.8888653","51676495.49153104","894338177632.3638","0.11775434522682246","0.025075884296717844","17306.47887643487"
"1979","3","Bottom 50%","Households","0.29936689","76657900.47948681","64098945.030317925","51985985.36956986","896663022966.0016","0.11784083561853538","0.02162210238188905","17248.168262880823"
"1979","4","Bottom 50%","Households","0.3049254433333333","77012832.46636945","64352217.70187324","52282487.08140594","897590508716.1255","0.11773583803936283","0.016879079797300845","17168.09124475163"
"1980","1","Bottom 50%","Households","0.31133151","77416051.12249248","64677739.56407589","52623829.00505698","891724925505.734","0.11739743522530857","0.003681134655048908","16945.26875685998"
"1980","2","Bottom 50%","Households","0.31873777666666664","77826220.65140116","65025015.50208268","52975937.53872935","863118498617.5814","0.11596774666377724","-0.03497386934454198","16292.651696566534"
"1980","3","Bottom 50%","Households","0.32586158","78145516.38611083","65296360.40395153","53266116.886246435","852333422262.5778","0.11389594019531957","-0.05222383926972611","16001.418389157147"
"1980","4","Bottom 50%","Households","0.33435208666666666","78460331.03517081","65563951.96315429","53553097.51228368","861840968742.5392","0.11262571938983475","-0.04678725736385431","16093.204852340341"
"1981","1","Bottom 50%","Households","0.3431556433333333","78838034.06884353","65884951.003447466","53872478.54898103","863884298874.9742","0.11206755060840301","-0.05019178011228817","16035.725887189836"
"1981","2","Bottom 50%","Households","0.34995871666666667","79238917.26381211","66225756.351207465","54202517.24868404","863276414204.8058","0.1122397889260678","-0.056639431589869386","15926.869415382454"
"1981","3","Bottom 50%","Households","0.35654041333333336","79551808.96814297","66493021.74270261","54472376.2009284","869352007102.3934","0.11135066030101318","-0.05470656775764226","15959.502186863967"
"1981","4","Bottom 50%","Households","0.36270214666666667","79850361.0291658","66748295.44804055","54732358.46180439","857336839746.7428","0.11109133141152473","-0.07219945562054775","15664.167666829948"
"1982","1","Bottom 50%","Households","0.36769568999999996","80187934.09448805","67003211.38808409","55003601.01739938","827437177103.9088","0.10854654318231854","-0.10897229728631856","15043.327378550439"
"1982","2","Bottom 50%","Households","0.37247540333333334","80550936.15534253","67262874.14797097","55284570.47680131","813045125690.0717","0.10626076533906473","-0.128920063819658","14706.546848025964"
"1982","3","Bottom 50%","Households","0.37775905000000004","80851092.22075184","67470060.76850934","55522404.91180673","791200499693.1631","0.10414813342824088","-0.15595503449163034","14250.112201550473"
"1982","4","Bottom 50%","Households","0.38166834000000005","81132226.88143684","67661416.12516862","55747146.06038401","772868245197.0078","0.10229470734124664","-0.1788355777703879","13863.817250121736"
"1983","1","Bottom 50%","Households","0.38454686666666665","81469521.52500929","67919971.52581017","56034552.05367019","768448325757.8848","0.1004322755119202","-0.1877194314376129","13713.83008508502"
"1983","2","Bottom 50%","Households","0.38741012333333336","81827157.08115305","68205647.18100764","56348040.33987526","779801908434.2633","0.09998936583456769","-0.18030407366151494","13839.02445818384"
"1983","3","Bottom 50%","Households","0.39152559666666664","82116847.4832431","68434685.10071589","56614757.02512151","796354959979.3456","0.1004641038724178","-0.16684780764454218","14066.20820832952"
"1983","4","Bottom 50%","Households","0.3944957333333334","82394913.00896403","68654042.71128784","56873417.55125039","814753079635.2025","0.10005839430411094","-0.15147628524018003","14325.727461357556"
"1984","1","Bottom 50%","Households","0.39848901999999997","82707460.39938606","68907957.5208583","57117752.18765486","842124222663.1016","0.10051178591394262","-0.12672233753747336","14743.651323959384"
"1984","2","Bottom 50%","Households","0.40189441","83045583.92777224","69186091.452259","57360699.37833283","865511556057.3657","0.1014769142476526","-0.10627124171072452","15088.929623202957"
"1984","3","Bottom 50%","Households","0.4054677466666667","83299623.615441","69394176.36609091","57545563.39368266","885943635711.8112","0.10282424947762314","-0.08811190425596294","15395.515891483476"
"1984","4","Bottom 50%","Households","0.40849897333333335","83537898.17511599","69589133.59353016","57719521.549403705","906406112346.0221","0.10427575622176438","-0.06986196683208291","15703.63176988923"
"1985","1","Bottom 50%","Households","0.41253808333333336","83833401.23465511","69834716.66877034","57970062.53439965","912063906848.6354","0.10432566354552326","-0.06810109646625363","15733.360755086529"
"1985","2","Bottom 50%","Households","0.4151951866666666","84144718.88721983","70094948.04378189","58250040.76434318","923801905348.9579","0.1048718339661602","-0.060644635451076","15859.249079091602"
"1985","3","Bottom 50%","Households","0.4176995833333333","84393341.31767623","70302951.54325496","58486550.680998705","932577210918.6879","0.10461922290979557","-0.055556266426820995","15945.156622506489"
"1985","4","Bottom 50%","Households","0.4200360166666666","84623454.95952837","70495534.79896249","58710113.5642143","938562693987.7941","0.10476660748183893","-0.05311406125947372","15986.388664727065"
"1986","1","Bottom 50%","Households","0.42212805999999997","84894507.1508255","70697593.85880046","58995860.350165516","943595548690.0479","0.10443930226252503","-0.05264741509931398","15994.267107715814"
"1986","2","Bottom 50%","Households","0.42372385999999995","85177968.68634605","70897686.34341036","59307117.40868205","935235253432.5677","0.10360917594633796","-0.06596886536314855","15769.35946807048"
"1986","3","Bottom 50%","Households","0.42546470999999997","85403830.49517776","71049871.21161614","59578156.89246575","933412023197.8287","0.10281231747310188","-0.07203066127210377","15667.017442022749"
"1986","4","Bottom 50%","Households","0.42777825666666663","85620295.15344363","71194298.12874816","59842450.91929209","929931642166.7518","0.1018368313991111","-0.07957384102861781","15539.665035125745"
"1987","1","Bottom 50%","Households","0.4304964333333334","85866867.88401198","71358311.5736636","60131494.780097686","935577939970.7671","0.10132109421419726","-0.07843648404586574","15558.867169229668"
"1987","2","Bottom 50%","Households","0.4334818466666667","86127471.99542445","71531241.9746133","60432278.42421993","947447992435.5303","0.10080146453067815","-0.07138924044269103","15677.84662667648"
"1987","3","Bottom 50%","Households","0.43675742666666667","86339151.17585845","71663554.74845316","60698690.69828326","959506654464.6136","0.10053733221628189","-0.06369796410168477","15807.699365939558"
"1987","4","Bottom 50%","Households","0.4402391433333333","86533540.94180016","71781562.08051957","60952826.06511072","981296610623.8129","0.10136719792239568","-0.046427424660477216","16099.279950950546"
"1988","1","Bottom 50%","Households","0.44369034999999996","86776902.81911515","71952574.18969944","61190237.91832387","991652753967.1831","0.10109933500138174","-0.040102677212008754","16206.061419320375"
"1988","2","Bottom 50%","Households","0.4480119166666667","87042801.35375816","72148437.66286434","61417988.10304367","1007818685347.2201","0.10160525205190035","-0.028071941260927956","16409.177774699463"
"1988","3","Bottom 50%","Households","0.45336428333333334","87257505.16577242","72301858.4336454","61609628.31234334","1016110142628.957","0.10153482389764039","-0.02312387028442501","16492.716649377704"
"1988","4","Bottom 50%","Households","0.45728125999999997","87471188.60369535","72454437.97965182","61800541.1351786","1025910310847.9813","0.1010098364337519","-0.016748954823275142","16600.345110311733"
"1989","1","Bottom 50%","Households","0.46205332000000005","87733000.46807225","72653078.80344407","62047529.03843725","1040507895331.2611","0.10183789534341059","-0.006728009457774249","16769.529930622804"
"1989","2","Bottom 50%","Households","0.46697051333333334","88014141.95010012","72870808.66955727","62319296.72171342","1037719770597.4097","0.10188705519824523","-0.01370950629054704","16651.660483771877"
"1989","3","Bottom 50%","Households","0.4703835166666666","88242105.56256771","73044497.1019743","62553473.90819991","1053075903667.0753","0.10299770795369988","-0.0028613687526409136","16834.81088856092"
"1989","4","Bottom 50%","Households","0.47373542333333335","88512036.036103","73252910.91233493","62817466.339349054","1063325206120.6315","0.10388121826283218","0.0026122190086159945","16927.222126030912"
"1990","1","Bottom 50%","Households","0.4788434733333333","88854971.7102053","73512389.7414787","63116492.34280095","1070991894690.153","0.10356260994668717","0.005056852012426845","16968.49515770516"
"1990","2","Bottom 50%","Households","0.48420349","89224563.6529811","73789215.86173041","63426094.516850494","1069296467599.3141","0.10274663820778786","-0.0014324206355937007","16858.935990694376"
"1990","3","Bottom 50%","Households","0.48835712666666664","89559224.63183331","74037115.05062759","63710928.92281262","1050661576332.5557","0.10123742325760647","-0.023221228075119314","16491.072946141758"
"1990","4","Bottom 50%","Households","0.49199152999999995","89878683.0655873","74272421.09760375","63984989.99414614","1030148463550.6348","0.09944885031757118","-0.04639391720226556","16099.845661379037"
"1991","1","Bottom 50%","Households","0.49680947000000003","90234534.54538597","74534359.52613668","64287588.924132","1018310483514.2085","0.09880547608320989","-0.06178931066362964","15839.9233904378"
"1991","2","Bottom 50%","Households","0.5004591233333333","90596466.43111515","74799589.9270445","64595848.301880114","1009006238195.4725","0.09786507541964391","-0.07479803769684282","15620.295494534199"
"1991","3","Bottom 50%","Households","0.5043684633333333","90892666.88641167","75010550.81925319","64857239.70884337","1000012123810.9088","0.09677346979167209","-0.08674069930514434","15418.666108828493"
"1991","4","Bottom 50%","Households","0.5073615333333333","91195964.0450541","75227387.65935682","65123666.16857028","995467077432.3043","0.09580298457817699","-0.09461069527455195","15285.796024682846"
"1992","1","Bottom 50%","Households","0.5092474666666668","91531844.55292614","75482875.39637701","65436184.40826536","996047994774.4252","0.09400007139215807","-0.09840893777213892","15221.669841871351"
"1992","2","Bottom 50%","Households","0.5123092533333332","91860547.71891318","75738321.18313764","65755015.29739346","989461954792.8145","0.09251655529283993","-0.10871311344129708","15047.70321043537"
"1992","3","Bottom 50%","Households","0.5148136600000001","92134859.44394553","75948924.83947475","66034894.69490232","983825750249.3463","0.09175949897929665","-0.11754616321102475","14898.573773682332"
